link,name,price,image
https://www.footlocker.com.vn/nike-dunk-low-women-s-sneakers-white.html,nike dunk low women's sneakers - white,"₫3,049,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDD150310100008H-1.jpg
https://www.footlocker.com.vn/nike-dunk-low-men-s-sneakers-shoes-sail-34.html,nike dunk low men's sneakers shoes - sail,"₫3,049,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKFN748813300W10H-1.jpg
https://www.footlocker.com.vn/nike-dunk-low-se-women-s-sneakers-shoes-sail-38.html,nike dunk low se women's sneakers shoes - sail,"₫3,359,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKFN7645133IVO08H-1.jpg
https://www.footlocker.com.vn/nike-dunk-low-boys-grade-school-basketball-shoes-med-soft-pink-pink-foam-hyper-pink-15.html,nike dunk low boys' grade school basketball shoes - med soft pink/pink foam -hyper pink,"₫2,249,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDH97656000PKY.6-1.jpg
