,link,name,price,image
0,https://www.footlocker.com.vn/nike-jordan-1-low-alt-boys-toddler-basketball-shoes-black-14.html,nike jordan 1 low alt boys' toddler basketball shoes - black,"₫1,459,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDR974704100510C-1.jpg
1,https://www.footlocker.com.vn/nike-air-jordan-1-mid-men-s-basketball-shoes-white.html,nike air jordan 1 mid men's basketball shoes - white,"₫3,809,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDQ842610600W10H-1.jpg
2,https://www.footlocker.com.vn/nike-jordan-1-low-alt-boys-pre-school-basketball-shoes-black-10.html,nike jordan 1 low alt boys' pre-school basketball shoes - black,"₫1,719,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDR974804100513C-1.jpg
