link,name,price,image
https://www.footlocker.com.vn/nike-jordan-1-low-alt-boys-toddler-basketball-shoes-black-14.html,nike jordan 1 low alt boys' toddler basketball shoes - black,"₫1,459,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDR974704100510C-1.jpg
https://www.footlocker.com.vn/nike-jordan-luka-2-boys-grade-school-basketball-shoes-football-grey-21.html,nike jordan luka 2 boys' grade school basketball shoes - football grey,"₫2,649,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDZ3498005GREY.6-1.jpg
https://www.footlocker.com.vn/nike-jordan-luka-2-boys-grade-school-basketball-shoes-black-24.html,nike jordan luka 2 boys' grade school basketball shoes - black,"₫2,649,000",https://www.footlocker.com.vn/media/catalog/product/cache/144a401d4eb9f312744987a3cea154c3/0/8/0882-NIKDZ3498001005Y.6-1.jpg
